"Pathway","DiD_logFC","DiD_P","DiD_FDR","Delta_logFC","Delta_P","Delta_FDR","LOPO_dir_consistent","LOPO_P_lt_0.05","LOPO_median_logFC","LOPO_min_logFC","LOPO_max_logFC","Direction_consistent","Abs_DiD_logFC","Abs_Delta_logFC"
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",-0.381196231373728,0.055196543941105,0.998866289809968,-0.381196231373727,0.025039870431879,0.418349480221686,9,1,-0.387557065416917,-0.50780201534646,-0.216920667090622,TRUE,0.381196231373728,0.381196231373727
"REACTOME_PURINE_SALVAGE",0.472202264488648,0.0999885794646031,0.998866289809968,0.472202264488648,0.0261765912323443,0.422383062368651,9,1,0.476078578433325,0.287551166257343,0.731932518955999,TRUE,0.472202264488648,0.472202264488648
"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM",0.420626703230115,0.103101463489311,0.998866289809968,0.420626703230114,0.0265037823090734,0.422383062368651,9,1,0.42895715774876,0.354310449444348,0.50743599461444,TRUE,0.420626703230115,0.420626703230114
"REACTOME_DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA",0.397940914232948,0.112653412079108,0.998866289809968,0.397940914232948,0.0294086850641368,0.435901539084488,9,1,0.39600631741926,0.226119388729998,0.603701751730086,TRUE,0.397940914232948,0.397940914232948
"REACTOME_TRANSLATION",-0.480041317399527,0.0765892104042753,0.998866289809968,-0.480041317399527,0.0296047906890863,0.435901539084488,9,1,-0.50188130153282,-0.660065577010292,-0.190228324393332,TRUE,0.480041317399527,0.480041317399527
"REACTOME_MITOCHONDRIAL_CALCIUM_ION_TRANSPORT",-0.397253771254619,0.144546497203553,0.998866289809968,-0.397253771254619,0.0297756412718554,0.435901539084488,9,1,-0.384125510076562,-0.584135972840254,-0.296421486204672,TRUE,0.397253771254619,0.397253771254619
"REACTOME_SIGNALING_BY_BMP",0.397328286318528,0.096874101776644,0.998866289809968,0.397328286318528,0.0314379870825975,0.442465245106689,9,1,0.391230357267921,0.278841857063293,0.5600074749621,TRUE,0.397328286318528,0.397328286318528
"REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING",0.374482290342237,0.070962095301783,0.998866289809968,0.374482290342237,0.0325391362817495,0.442465245106689,9,1,0.372805855392241,0.296566504399972,0.462253470221554,TRUE,0.374482290342237,0.374482290342237
"REACTOME_THE_PHOTOTRANSDUCTION_CASCADE",-0.389670405430845,0.0696024157529353,0.998866289809968,-0.389670405430845,0.0356501582368091,0.455189411194357,9,1,-0.371933550526138,-0.574887162113323,-0.231066509962101,TRUE,0.389670405430845,0.389670405430845
"REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION",-0.40145131760445,0.111991757728558,0.998866289809968,-0.40145131760445,0.036524903756407,0.455189411194357,9,1,-0.385687752810934,-0.525780969757898,-0.35563203318702,TRUE,0.40145131760445,0.40145131760445
"REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC",0.418839921453799,0.109587782907805,0.998866289809968,0.418839921453799,0.0377318769308997,0.455189411194357,9,1,0.419642786721073,0.337503999378396,0.549758988756399,TRUE,0.418839921453799,0.418839921453799
"REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS",0.348498384522389,0.0624009075672819,0.998866289809968,0.348498384522389,0.0396550189805315,0.456328534195102,9,1,0.344513157064587,0.245668553832353,0.412201544316281,TRUE,0.348498384522389,0.348498384522389
"REACTOME_NICOTINAMIDE_SALVAGING",0.356391162574495,0.131574460629438,0.998866289809968,0.356391162574495,0.0417020711287192,0.457705809973621,9,1,0.352329451277116,0.269973457011184,0.444145694881819,TRUE,0.356391162574495,0.356391162574495
"REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS",-0.390960234386625,0.0987175076099599,0.998866289809968,-0.390960234386625,0.0429914305229746,0.457705809973621,9,1,-0.377921435940182,-0.629257144854456,-0.214180423280779,TRUE,0.390960234386625,0.390960234386625
"REACTOME_DECTIN_2_FAMILY",0.410704516405561,0.119068614291477,0.998866289809968,0.410704516405561,0.0431673288740806,0.457705809973621,9,1,0.39567434255443,0.283068338303209,0.597569529145712,TRUE,0.410704516405561,0.410704516405561
"REACTOME_SIGNALING_BY_ROBO_RECEPTORS",-0.369841728711892,0.0887567438406487,0.998866289809968,-0.369841728711892,0.0437967497505846,0.457705809973621,9,1,-0.396189380143533,-0.512776658070502,-0.142540516571564,TRUE,0.369841728711892,0.369841728711892
"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS",0.379812439016659,0.113032102087434,0.998866289809968,0.379812439016658,0.0442744525565546,0.457705809973621,9,1,0.368006347777146,0.314887404023098,0.462198238647922,TRUE,0.379812439016659,0.379812439016658
"REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS",0.328845895761977,0.0830341483424579,0.998866289809968,0.328845895761977,0.0452540774314757,0.463210434847382,9,1,0.325275697227439,0.277359227390531,0.394941347756657,TRUE,0.328845895761977,0.328845895761977
