feature,GSM2242042_C1_edge_Week0.CEL,GSM2242043_C1_edge_Week1.CEL,GSM2242044_C2_edge_Week0.CEL,GSM2242045_C2_edge_Week1.CEL,GSM2242046_C3_edge_Week0.CEL,GSM2242047_C3_edge_Week1.CEL,GSM2242048_T1_edge_Week0.CEL,GSM2242049_T1_edge_Week1.CEL,GSM2242050_T2_edge_Week0.CEL,GSM2242051_T2_edge_Week1.CEL,GSM2242052_T3_edge_Week0.CEL,GSM2242053_T3_edge_Week1.CEL,GSM2242054_T4_edge_Week0.CEL,GSM2242055_T4_edge_Week1.CEL,GSM2242056_T5_edge_Week0.CEL,GSM2242057_T5_edge_Week1.CEL,GSM2242058_T6_edge_Week0.CEL,GSM2242059_T6_edge_Week1.CEL
HALLMARK_HEME_METABOLISM,-0.04351694885538113,-0.1936654209326617,-0.04008087688891565,0.09218765048532834,0.19754537382270704,0.05630411723218859,0.15611087643406021,0.021318112862332234,-0.08713030745200101,0.17769849669544158,0.008163779412404037,-0.07762758638792217,0.020818764839630965,0.0877508460925972,0.04837038371965929,-0.10952155802896907,-0.08987302798684799,-0.12533589949730697
HALLMARK_HYPOXIA,-0.11427034495473537,-0.25828532471630955,-0.3257290189581259,-0.35907166526340745,0.4444540946831034,0.42258341218124956,0.22660734969136442,0.06314287892668213,-0.17270634362879184,-0.14987105080486499,-0.1800379575756609,-0.1958523134974147,0.09708814367429566,0.2997459726357993,0.261291053200032,-0.11323203437764832,-0.22451926606711267,0.12285598188860442
HALLMARK_IL2_STAT5_SIGNALING,-0.0934641200208012,-0.13559687121635053,-0.014870031982681803,0.001107875741402864,0.32543920861239756,0.27443872026585464,-0.10341594327361445,-0.1546724006987134,-0.021959729206692313,0.1408968750811233,-0.1568850777265296,-0.10806255665662548,-0.15548276068766867,0.4226688926308343,-0.0740816971825046,-0.015868555428480424,-0.34631287866070576,0.057478503229230676
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.20131098530849356,-0.1385320193194658,0.041111747264946596,0.22820547467645041,0.21796902937533635,0.40860967282945365,-0.38162760408976015,-0.14043869373865134,0.26353186319344996,0.21989209374530871,-0.2978134757609797,-0.001556567181017099,-0.2738348725957893,0.35124711694752075,-0.15656508837308983,-0.1293338263172316,-0.3251288767924592,0.2789161580361307
HALLMARK_INFLAMMATORY_RESPONSE,-0.11440469489207691,-0.031471460492394965,-0.018698296214069543,-0.03538359121790102,0.2706814063028431,0.3345176887714233,-0.19178065460622656,-0.11400153615432954,0.26028251264937063,0.2921302301775509,-0.3273935856568851,-0.11952742556412368,-0.3003284909876422,0.44868561773646587,-0.23293161443503546,-0.09494616282932072,-0.2864280251369765,0.0648665223372612
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.3679402358384749,-0.35764461944223547,0.3214420773570298,0.3736324959983281,-0.10691801609038709,-0.37982776025227477,-0.48803119493767316,-0.45647995754135257,0.10274557250836203,0.07251496807121902,0.037035989101126265,0.14720876961921076,-0.2862915333403528,0.4779630604082462,0.27377113329098196,0.36518630675838415,0.12357095014577912,0.35068039464286915
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.2896211451737519,-0.2608760732789751,0.2843175839690632,0.25937207776849514,-0.03935700373144255,-0.10575055547069184,-0.3663285605247566,-0.2993011600742017,0.28301655084785415,0.2567509533200545,-0.22602955881247516,0.05746323018858651,-0.35352138702063485,0.5207036970794041,-0.11387777582343099,0.23607443070202294,-0.08757291314465415,0.24876593874584657
HALLMARK_KRAS_SIGNALING_DN,-0.05921010868536905,-0.14774734065835277,-0.09716413212745437,-0.05439160755761735,-0.046693084543258434,-0.029278908021934946,0.05165206972675601,-0.16460563082359003,-0.08889569512873025,-0.06014743862073163,0.18215928100692352,0.15951721134686964,0.20565721014431265,0.13387457859817659,0.011253230625468402,-0.22467375186247768,0.2042134345496877,0.04006063422209186
HALLMARK_KRAS_SIGNALING_UP,-0.12289395117843732,-0.058082042187261596,-0.07595756587356767,-0.06235054811669749,0.10418187573045079,0.23026607004963906,-0.035739482677026285,-0.08361145878798984,-0.10768835855797293,0.1965872601372476,-0.17836749846054242,0.029788454973532774,-0.19064032503190054,0.34383037625190843,-0.0960746831289859,0.12544214540574827,-0.22904240128717787,0.09596572296909556
HALLMARK_MITOTIC_SPINDLE,-0.017770277241680177,-0.05706542890962937,-0.2935120653618941,-0.3222748141368079,0.38323028438755996,0.09708931935115131,0.10432211718127452,0.09433226505028114,-0.1303698779155135,0.038572089447450636,0.15137092394146257,0.00575699747883171,0.08785529536864975,0.27232789241224714,-0.21628740581946218,-0.12313227637051977,-0.14990134552659026,0.26010588499481013
