feature,GSM2242048_T1_edge_Week0.CEL,GSM2242049_T1_edge_Week1.CEL,GSM2242050_T2_edge_Week0.CEL,GSM2242051_T2_edge_Week1.CEL,GSM2242052_T3_edge_Week0.CEL,GSM2242053_T3_edge_Week1.CEL,GSM2242054_T4_edge_Week0.CEL,GSM2242055_T4_edge_Week1.CEL,GSM2242056_T5_edge_Week0.CEL,GSM2242057_T5_edge_Week1.CEL,GSM2242058_T6_edge_Week0.CEL,GSM2242059_T6_edge_Week1.CEL,GSM2242042_C1_edge_Week0.CEL,GSM2242043_C1_edge_Week1.CEL,GSM2242044_C2_edge_Week0.CEL,GSM2242045_C2_edge_Week1.CEL,GSM2242046_C3_edge_Week0.CEL,GSM2242047_C3_edge_Week1.CEL
Epithelial cells,0.0793451980888034,0.078050183696208,0.0655301382580939,0.0653163356202297,0.0553878835803848,0.0322977252001781,0.085345317763246,0.0666450178628832,0.0478305745377324,8.408840439180059e-19,0.0532566039034389,0.0295958512191659,0.0867295346001189,0.0720975347835628,0.0151105385655989,0.00987382512119115,0.080563945483827,0.0714220796759744
Erythrocytes,3.1225485474187096e-19,0,9.4151516921318e-19,0,4.0931336849250996e-19,5.4356841549557e-19,0,0,5.80363530403155e-19,0,8.501835982741189e-19,1.7579714539099198e-18,1.02682810975584e-20,0,0,0,0,2.33142440745066e-18
Fibroblasts,1.41902532608026e-18,0,0.0124151269407536,0,0.0215778943648521,0.0721886947798751,1.7894760864691097e-18,0.0343204612351084,0.0764639760236586,0.167494572442739,0.0591564573656559,0.13474261045768,0,0.00978227687527405,0.0828676045520342,0.0837793675183679,0.0455743183953037,0.0558359077915266
GMP,3.91403568791397e-18,6.6080158900619e-19,2.49399174287051e-18,0,0,1.03961589099848e-18,7.72511001752977e-18,0,5.033571722680001e-18,0,1.24831475403843e-17,0,3.4273148852369695e-19,0.0125873122322067,0,6.776072310327939e-19,8.86823587021337e-21,3.0640639508656395e-19
Hepatocytes,7.59872226835359e-21,0,0.00355824631410147,0,0,0,1.44341816382639e-19,0,0,0.00122960622895479,6.9027739866618e-4,0.00182224858203099,2.8247141341942597e-19,0,8.1389537668721e-4,0.00301017834682152,0.00175858113845632,0.00379485413515779
HSC,1.8426431668260499e-19,0,4.1810255908051795e-19,1.24461385123758e-5,0.0263499847850674,0.00734342478750316,1.11132518696399e-18,0,0.0407481941663429,0.0669767128647361,0.00673657418290485,0.0410786562583797,0.0182226645596507,0.0135261528024497,0.00901014928483059,0.0300525779868047,5.2856452104927697e-20,9.1722502151274e-5
iDC,0.0301459532488863,0.0720999307079244,0.0872113071476761,0.120428321195018,0,0.0163334818698706,0,5.96204575815227e-20,0.0149299600642374,0.120511241674716,0.0450494796780666,0.149887694199824,0.0294486128717628,0.152210672767687,0.0630661765884057,0.236688281687787,0.197716489963535,0.125116399798749
Keratinocytes,0.0341821114682116,0.0330315399752936,0.0235024700244758,0.0266990575064409,0.0168518609503286,0.013074082054854,0.025953947494569,0.024691536496416,0.0177738740241639,1.49276225316477e-19,0.0178072811412651,0.0113438821892273,0.036990717449271,0.0369162627155418,0.00812231273211931,0.00309024045640166,0.0216220751712737,0.0231598487880878
ly Endothelial cells,0,0,0,0,0.00146077538473222,0.00135069735881806,0.00421566173564307,0.00685680337488742,0,0.0190286677398053,0,0.00823746765202284,0.00721381471138148,0,9.0222477417787e-4,0.00516344567209574,1.33913172255922e-20,1.43204743968203e-20
Macrophages,0.00626582705452714,0.00704125350160501,0.00501355899047584,0.035808449186408,0,0.00613692150069107,0.0143244617177895,0.04238394916476,0.0134283786935471,0.0492430013671822,0.0098541871037411,0.00740861805542241,0,0.0114244548884039,0.0405615755126099,0.0436608203110336,0.00964117562652876,0.00997909187187823
Macrophages M1,0.00413195463829795,0.00968758320420848,0.0138697295096684,0.0196207246931767,1.18491626331625e-19,0.00335248731455206,0.012002832444803,0.0350112037613055,0.0085909889501393,0.0240800130793944,0.0146628662850428,0.0122012256846961,0,0.0104662269522492,0.0260436397426466,0.0220996558536015,0.00890585918299043,0.0125302237785221
Macrophages M2,0.00340655116911887,0.00612066957443901,0.00234721963870337,0.0436359891601531,0,0.00608594565825111,0.0446250219711252,0.0610587658306934,0.00871986749946504,0.0682630534358057,0.00309789086758489,0.00642513787426877,3.6833660726473e-4,0.0050623613809232,0.0391412453956887,0.0593753586503045,0.00101394978653331,0.00398121479351267
Mast cells,0.00376748837784308,0.00225703620699597,5.4434154160018e-4,0.00149872821268685,0.00237282635522009,0.00422835803512592,0.00315057026292284,0,0.00282137972415064,0.00792075334737093,1.3874992825134e-4,2.5469036966610103e-21,0.00195813087302271,1.8962403042774e-4,0.0186210887198562,0.022751871828562,0.001820382927685,0.00282260270999165
Megakaryocytes,0,0.00143321263744697,1.4209554727897099e-19,0,4.3514562035287e-4,0,3.0292014817548e-4,0,0.00121215765805999,0.00105872184121023,1.6834584319236799e-19,0,0.0013196572428072,6.6296123385913e-4,0,0,2.22643800355815e-19,0
Melanocytes,0.00849403108608433,0,0.01728816858837,0.0114093541787783,0.0326182687316146,0.019952221755614,0.0109180507658547,0.00183545265456219,0.0116451722112024,0.00291614081637403,0.0111861580506611,0.00121204424474344,6.4395998537064e-4,0.00101815091975109,0.00637678883114525,0.0140638808604436,0.00565411150700398,0.00267063822400273
Memory B-cells,1.23684938905183e-21,0.00144164115770768,3.6571051572110196e-20,0.00122394152634673,3.9400034449646895e-18,0,1.5882114717892798e-23,2.9335287485049e-4,0,4.881512676134319e-19,3.6985276070374e-19,2.6868771760846498e-18,0,0,0.00645789703542046,0.00378570533412177,0,0
MEP,0.0265557846812492,0.0263269441348308,0.0240925787305079,0.014223815586279,0.0139971795028311,0.0157960252193523,0.0261130126692249,0.00153753931985035,0.0296793535100064,0.00223817645834694,7.2804863594928e-4,0,0.00357018704303202,0.034340775411294,0.029429067352067,0.0219606029455196,0.0176565564211457,0.023402643845187
Mesangial cells,2.3032610735630298e-18,7.41838051551507e-22,8.01591164694252e-20,2.05269831660269e-18,0.00736167307504978,0.0117672653284864,0,0.00689491101608816,2.8805491807826e-4,0.0112438924677882,0.00414352779413431,0.0165451145309745,0,0,0.00686093182561666,0.0077165877682269,0.00406229874787045,0.00402969406542084
Monocytes,8.562600944062089e-19,0,0,0.00173742710723629,4.0735333672476796e-19,0,0,1.33335022177847e-18,0,2.5030781098397e-18,5.0998943393330096e-18,0,2.40010059160647e-19,0.00573444406992794,0.00289803241624495,1.5580328825279699e-18,8.0526408999061e-4,0
MPP,3.6310563885001e-19,0.00243026880263807,4.965524626065359e-19,2.94698168895025e-20,1.06754349424387e-18,0,0,0,1.12763678788669e-18,2.98124508933579e-18,0,0,0.00116296911229766,0.00184361019289198,0.005619810078988,0,1.30084896694255e-18,2.854426351757e-18
MSC,0.0385458662217622,3.24259694838965e-18,0,0.030021317938709,0.0325845684438942,0.0667439122036679,0.172973411626258,0.115820711761119,0.0620246612356709,0.0774658067566658,0.0695028192989009,0.0736972468982366,0.0648181357462358,0.0751447978584146,0,0.00163571733844069,0.0219829274329485,0
mv Endothelial cells,4.1455813417229295e-19,0.00292204291785796,4.54869835341524e-20,0,0.00244115903004016,0.00481152013372031,0.0115223129544197,0.0122259832637102,0.00278660805204672,0.03830094349792,0.00311689353432997,0.0155991935070468,0.0158648256887151,8.1814740700843e-4,0.00258314134041414,0.0125882471683164,4.1779132875312e-4,3.2660335552725e-4
Myocytes,0.00387447357673203,0.00217876097949695,0.00278204041537427,7.112770718947249e-19,0,0.00148193032895017,0,1.475608477973e-20,0.00575978816133895,0.00138944436152491,1.8765562229949198e-19,2.4135485176307598e-18,0.00180934701765967,1.4012485721131198e-19,4.07364388403835e-20,0,0.00158121232590225,4.3212732391577e-4
naive B-cells,0.0010810174568364,3.4727893537659e-4,1.6150171937672e-4,0,4.76539467796248e-19,0,0,2.7604433634827e-4,0,0,6.12157103409074e-20,2.70095075184396e-18,0,0,5.86765902279724e-19,1.3763831485283499e-18,0,0
Neurons,3.0041788755522e-4,0,1.04939857200236e-21,1.9813676734869e-4,2.2841634894989e-4,1.6306879138024e-4,0,1.2967158425302e-4,0.00113650017282502,0.00210691856623119,0,3.0783060652679e-4,2.5309839055212e-4,1.5038529160429e-4,7.1365852250782e-4,0,0,0
Neutrophils,0,9.0805405100437e-5,0,0.00323457792957085,1.3147138792587598e-19,0,0,2.01369785061898e-18,1.23222358614715e-20,0,4.0372490574161197e-19,2.0886345591764e-18,1.9225757275632698e-19,9.66090094916974e-22,5.6123537642955e-4,0,0,0
NK cells,0,2.35224558952667e-18,7.99051616289677e-18,4.33695085604103e-18,0,0,9.0645537888359e-18,0,0,0,0,0,0,1.9072177327679499e-19,0.00346745200546903,7.22678603936237e-18,4.6769262952135004e-18,6.21331843838074e-18
NKT,5.2565936288676e-4,0.00100205280940143,0,0.00454824789986088,0.00538975050329196,0.00929223326870603,0.0206627790108704,0.0209076467251824,0.00443897509550636,0.0208244569867444,0,0,0,1.0577630941747899e-19,1.5251755955149e-4,0,1.11852669115368e-19,8.886163973268308e-19
Osteoblast,0,0.00495153056947892,0.00296629757085426,3.99324623441537e-18,4.8950475665429e-4,0,3.8377147686117495e-19,0,0.00165589474634582,1.22470698177402e-18,0,0,0,3.1296202026671597e-18,1.18012265284818e-18,0,0.00703510649590961,0
pDC,0.00163619760590362,0.00174104977852221,0,0.00993050479625499,0,0.00137612136513642,4.5545622329031e-4,0.0152023053829164,5.3973854640373095e-19,0.00231126014864554,0,0,0,0.00501256592299067,0.00541671536808813,0,0,0
Pericytes,0.010014218403135,9.89393876028294e-20,0.00677474603910236,0,2.38504663674238e-18,0.0197405221329378,1.2420965764213001e-18,0,0.0306909392766129,0.0516657351613767,0.00750956052409531,0.0339853674303075,0.00357963156651738,0.00121430516326032,0.00487354841192922,0.00663245218283287,0.0428214557011699,0.0640206684876185
Plasma cells,0.00824435387798753,0.00638418753384389,0.00313528435549373,0.00528197652191964,0.00762382810779079,0.0116835720201881,7.8270730142142e-4,7.207354025247899e-20,0.00778866958547666,0.010237281291669,6.845399253051e-4,0.0310679258314542,0.0407495778867003,0.0403285906714902,0.0720931345890294,0.0373001286589213,0.00178887620759817,0.00730638382653754
Platelets,0,0.00107482228014717,0,0.00225946716036964,0,0,1.32360362668078e-19,5.324510417105919e-19,5.33071746751661e-20,0,0,2.71310678159582e-18,0.00559602790149068,3.8422434328710197e-19,3.49604472859116e-21,1.53616675284193e-18,0,6.3804563546466394e-18
Preadipocytes,0,0,0.0379736220638712,0,0,9.07788131779607e-21,1.4844548332203699e-18,4.32033112610963e-19,0,0.0151393063048065,0,0.00333000569622683,6.56677217295213e-18,1.9272508841748002e-18,0.0245086346842852,0.0445189554143202,0,2.0258957773009798e-19
pro B-cells,0.00458307876781933,0.0044623502108546,0.00701669135168754,0.00428421547214656,0,0,1.0828808654263e-4,1.07641739245503e-18,0,2.8357360940642697e-18,3.9242932629745e-21,3.6790455811966096e-19,3.83596149920298e-19,0.00908411589518349,0,0,1.74297298778994e-21,8.2957412622395e-4
Sebocytes,0.0209527879691471,0.0207444735763129,0.0213606029410982,0.0213363444730074,0.0124578637155248,0.00915510151310933,0.0134036249317221,0.0224675391950888,0.014385079336107,0,0.0106734681910076,0.00719329380882469,0.0251855368977994,0.0245807332962617,0.00248524743924308,0.00355089622128188,0.0223986728052449,0.0240118885802579
Skeletal muscle,0,1.3696332999118e-19,0,0,0,1.22839667818194e-20,0,1.9850603670282502e-21,1.80822327942274e-18,0,3.7715378642503798e-19,0.00316553627791709,5.687367231544539e-19,6.719863107339189e-20,0,0.00136943545058032,0,6.444451906353219e-19
Smooth muscle,0.0216052679587528,0.0266752132476123,0,0.0217619655954707,0.0760692270662442,0.0643594453893568,0,0,0.100902063596481,0.0959537769652537,0.0191314007037717,0.0164496397063561,0.0708023873194732,0.0734582230668379,0.076814499938472,0.0198799339278674,0,1.01243065757574e-17
Tgd cells,0,0,1.3637435852354298e-19,2.0235791180220498e-19,1.6903410140070299e-19,4.53548071680841e-18,0,2.9881064416389895e-19,4.3470446371260594e-18,1.7123759052957898e-18,0,0,1.45242507444415e-18,2.13755660042131e-20,0,3.70487910710437e-18,0,1.98945726392691e-18
Th1 cells,3.1875116900718797e-19,0,0,0,0,0.00250932743453658,0.0200514364372545,0.00773390124902415,0.002607309543094,0,0.00477954305063122,0.00277316220155014,3.1985132591547397e-18,0,0,3.82120702856392e-20,0.00379734256405302,0
Th2 cells,0.0616674298199839,0.0998206986990259,0.0617151088534256,0.0647811849809846,0.0150445121811978,0.011385160067255,0,0.0153947494222855,0.00526573642142607,0,0,0.0361925572142224,0.0139482810639859,0.127824072188531,0.0165362519656373,2.57896927558416e-18,0.0175012833476647,0.0433853898198767
Tregs,0,0,0,1.24441645222526e-19,3.7640101152375494e-19,0.0157172093892576,0,0.013000114636405,9.86556196144772e-20,9.424786759422208e-19,2.72998331934329e-18,7.917826903571109e-20,0.00607439181032308,0,1.74296672313045e-18,0,2.6132509397979e-18,0
ImmuneScore,0.01558164136519,0.0294126055870437,0.0079012879930236,0.0430687427690965,0.00356659873675081,0.00691018635721133,0.0191382241723024,0.039067736320815,0.0108331722784652,0.0448494592658723,0.0066619580213283,0.00812896407728545,0.00402275364272391,0.0190273877802595,0.0982827424976546,0.058323631327147,0.0164754220649392,0.0120892457792633
StromaScore,7.23769938510618e-19,6.195050011576e-4,0.00641390034948759,3.5250649624512404e-21,0.0162146492296581,0.0416425980859476,0.00153622126828373,0.0252683182822357,0.0402272696861064,0.10878194816985,0.0334540521295888,0.0783404005023376,0.0095144671650349,0.00489113843763702,0.04249089276038,0.0502662281531186,0.0234114553487807,0.0432183481449685
MicroenvironmentScore,0.01558164136519,0.0300321105882013,0.0143151883425112,0.0430687427690965,0.0197812479664089,0.0485527844431589,0.0206744454405861,0.0643360546030507,0.0510604419645716,0.153631407435722,0.0401160101509171,0.086469364579623,0.0135372208077588,0.0239185262178965,0.140773635258035,0.108589859480266,0.0398868774137199,0.0553075939242318
